file name,manual count,auto count
21_4_lu3,137,138
4lu2,404,402
29_4_rd2,296,295
23_8_lr1,253,253
33ru2,420,418
21_4_ll3,260,260
28_4_lu2,311,311
13lr2,224,223
25_4_lr1,441,443
33rl1,441,438
31_8_lu2,503,503
34rl1,394,393
37_8_rd1,374,0
37_8_rd3,193,193
40lu1,353,350
33_8_rd3,215,215
11rl2,411,408
7ld3,163,161
11ld1,479,477
36lu3,163,162
36rr2,329,329
38ll1,429,426
27_4_ld1,380,377
42_8_ll1,453,453
4rr1,442,439
22_4_rd3,340,334
5rl1,426,425
40rr1,447,446
32ru3,341,339
23_8_rd2,261,261
35_8_ru2,411,407
10ld2,350,348
2lr3,181,180
40lu3,252,251
31ru1,369,369
25_4_rd3,279,278
34_8_ld2,426,428
3rl3,254,253
11ru1,375,374
1rl3,158,158
36ld2,283,282
6ru3,210,209
14rr2,436,437
23_8_ru1,480,477
25_4_ld1,285,284
4lr2,422,417
19ld1,518,514
31ru2,443,441
38ru2,439,439
8ru1,380,377
35_8_rr3,121,120
30_4_rl1,442,438
22_4_rl2,228,223
38_8_ru2,479,479
34_8_rr1,421,421
42_8_lr3,213,212
36ll3,115,115
27_4_rl2,382,379
34ld1,351,350
13ll2,150,150
8ru2,364,361
15ld1,329,329
11lr2,510,505
37_8_lu3,90,0
35_8_lr1,433,435
5lr2,406,403
20rd1,362,360
1ru3,282,278
23_8_ru2,432,430
38lr1,474,472
8ll2,58,58
34_8_rr3,283,282
23ru2,388,383
3rr3,162,159
34rr2,386,381
21_4_ll2,319,315
12rr2,401,398
32ll1,491,494
32rd3,171,171
34ru3,287,287
14lr2,267,265
37_8_lr3,250,0
24_4_rr3,221,221
27_4_rr2,459,457
4rl1,396,392
31rl3,177,177
35rl1,421,422
41_8_ru1,466,464
19rr3,362,354
40ru2,412,411
25_4_ll3,373,372
14ru2,432,424
35lu2,507,505
5rl3,266,266
29_4_lu2,415,411
2rr3,236,235
12ru3,182,181
42_8_rd1,502,501
23_8_lr3,116,115
35_8_ll2,265,265
42_8_rl2,523,519
23_8_rl3,394,393
6lu1,390,389
34_8_rd2,406,404
36_8_rl1,445,0
6rd3,280,280
36_8_rd3,153,153
4rd2,474,469
3rr1,399,398
30_4_ld2,408,405
32ld2,439,438
42_8_lu3,171,171
14ll1,474,471
23_8_rr3,298,296
40lu2,398,396
23_8_ll1,441,439
40lr2,333,333
17rl3,266,265
36rd3,75,75
4rd3,261,260
31rd3,247,247
35_8_ld3,237,237
37rd2,181,181
32rr3,379,378
18rr1,430,426
32rd1,467,467
24_4_ld2,354,351
38rr1,456,456
3rl2,377,377
11ll2,272,272
29_4_lr3,342,336
3rd1,413,408
35_8_rl1,444,441
11rd3,158,158
31_8_ld2,551,550
13rl3,168,166
33lu3,157,157
36rl1,385,383
38_8_rl3,188,188
1ld3,293,293
27_4_rd2,418,406
25_4_rl2,276,276
41_8_lu3,320,319
27_4_ru3,146,144
3ld1,314,312
42_8_ld1,418,418
33_8_rl1,436,435
19ru1,541,537
33_8_lr2,191,190
12ll3,250,247
21_4_rr2,293,291
38_8_rd3,281,280
41_8_ld2,486,485
6ru1,436,433
25_4_ru3,308,308
40rl3,299,299
15rl1,356,356
29_4_lr2,379,379
10lr2,349,346
38_8_rr2,408,408
34_8_lr1,474,474
24_4_rd2,453,452
20lu2,385,382
28_4_rl3,224,224
3rr2,239,236
32rr2,462,460
38rr3,252,252
1ll2,411,410
36rd1,409,404
31_8_ld1,557,556
39rd3,207,206
37ru3,232,232
41_8_rd3,316,315
5rl2,372,370
23lr3,263,260
35_8_lr3,194,194
42_8_lr2,348,348
25_4_ll2,442,437
12lr2,258,257
36lu2,345,343
13lr1,410,409
2rd3,122,122
32rl2,458,456
31_8_ll1,542,542
34rr3,291,290
37rd3,125,125
38rl3,298,296
5ld1,413,411
10rr2,237,235
38_8_lu1,374,373
14ld2,432,432
40rd1,449,446
27_4_lu3,279,276
26_4_lr3,244,244
31rl1,346,338
23_8_ld3,170,170
29_4_rd1,377,375
7lu3,253,256
4ru1,386,384
11lu2,447,445
22_4_ru2,246,244
13ru1,391,390
31ld2,520,518
34rl2,390,388
14rl3,290,289
42_8_rd3,348,346
34ld2,390,387
38ll2,424,422
38_8_rl1,480,478
23_8_lu3,198,196
39lr2,410,408
39rr3,210,207
36ru1,357,354
18rd2,298,298
37rl2,432,432
1lu1,422,421
42_8_rl3,183,181
1rr1,486,486
34ru1,417,410
11rl1,473,468
6rd1,413,412
42_8_ru3,328,327
18rr3,375,374
11rd1,487,481
37_8_rr3,264,264
13rr3,253,251
6rl1,430,425
15ld2,281,281
35ru2,367,365
42_8_ru2,392,392
17rl2,387,386
7lu2,436,434
34ld3,227,227
23_8_rr2,415,414
36_8_ll1,360,0
5lr1,395,392
38ru3,296,295
4lr3,270,264
25_4_rl3,160,160
30_4_ld3,267,266
15lr2,330,328
29_4_ld1,499,499
31ld1,509,506
6rd2,382,382
